Club,Location
Liverpool,Liverpool
Middlesbrough,Middlesbrough
Derby County,Derby
Stoke City,Stoke-on-Trent
Blackpool,Blackpool
West Ham United,London
Oldham Athletic,Oldham
Sheffield United,Sheffield
Bolton Wanderers,Bolton
Cardiff City,Cardiff
Norwich City,Norwich
Nottingham Forest,Nottingham
Swindon Town,Swindon
Fulham,London
A.F.C. Bournemouth,Bournemouth
Southampton,Southampton
Wigan Athletic,Wigan
Leeds United,Leeds
Arsenal,London
Manchester City,Manchester
Blackburn Rovers,Blackburn
Leicester City,Leicester
Portsmouth,Portsmouth
Everton,Liverpool
West Bromwich Albion,West Bromwich
Arsenal,London
Coventry City,Coventry
Sheffield Wednesday,Sheffield
Hull City,Kingston upon Hull
Leicester City,Leicester
Swansea City,Swansea
Queens Park Rangers,London
West Ham United,London
Bolton Wanderers,Bolton
Reading,Reading
Manchester City,Manchester
Wolverhampton Wanderers,Wolverhampton
Barnsley,Barnsley
Manchester United,Trafford
Ipswich Town,Ipswich
Derby County,Derby
Middlesbrough,Middlesbrough
Sunderland,Sunderland
Birmingham City,Birmingham
Newcastle United,Newcastle upon Tyne
Southampton,Southampton
Crystal Palace,London
Sunderland,Sunderland
Chelsea,London
Burnley,Burnley
Charlton Athletic,London
Bradford City,Bradford
Watford,Watford
Aston Villa,Birmingham
Tottenham Hotspur,London
