Teams,Fixture
"Stoke City FC,Swansea City FC",146798
"Stoke City FC,Tottenham Hotspur FC",146781
"Stoke City FC,Watford FC",146996
"Stoke City FC,West Bromwich Albion FC",147050
"Stoke City FC,West Ham United FC",146743
"Sunderland AFC,Aston Villa FC",146905
"Sunderland AFC,Chelsea FC",146753
"Sunderland AFC,Crystal Palace FC",146835
"Sunderland AFC,Everton FC",146817
"Sunderland AFC,Liverpool FC",146914
"Sunderland AFC,Manchester City FC",146870
"Sunderland AFC,Manchester United FC",146853
"Sunderland AFC,Norwich City FC",147066
"Sunderland AFC,Southampton FC",146979
"Sunderland AFC,Stoke City FC",146960
"Sunderland AFC,Tottenham Hotspur FC",147040
"Sunderland AFC,Watford FC",146942
"Sunderland AFC,West Bromwich Albion FC",146799
"Sunderland AFC,West Ham United FC",147015
"Swansea City FC,AFC Bournemouth",147105
"Swansea City FC,Aston Villa FC",146807
"Swansea City FC,Chelsea FC",146788
"Swansea City FC,Crystal Palace FC",146862
"Swansea City FC,Everton FC",147033
"Swansea City FC,Leicester City FC",146951
"Swansea City FC,Manchester City FC",146744
"Swansea City FC,Manchester United FC",147051
"Swansea City FC,Southampton FC",146854
"Swansea City FC,Stoke City FC",147004
"Swansea City FC,Sunderland AFC",146899
"Swansea City FC,Tottenham Hotspur FC",147016
"Swansea City FC,Watford FC",146889
"Swansea City FC,West Bromwich Albion FC",146925
"Swansea City FC,West Ham United FC",146934
"Tottenham Hotspur FC,AFC Bournemouth",147087
"Tottenham Hotspur FC,Arsenal FC",146825
"Tottenham Hotspur FC,Aston Villa FC",146987
"Tottenham Hotspur FC,Chelsea FC",146961
"Tottenham Hotspur FC,Everton FC",147052
"Tottenham Hotspur FC,Leicester City FC",146891
"Tottenham Hotspur FC,Manchester City FC",147022
"Tottenham Hotspur FC,Manchester United FC",146789
"Tottenham Hotspur FC,Newcastle United FC",146943
"Tottenham Hotspur FC,Southampton FC",146754
"Tottenham Hotspur FC,Stoke City FC",147068
"Tottenham Hotspur FC,Sunderland AFC",146890
"Tottenham Hotspur FC,Swansea City FC",146843
"Tottenham Hotspur FC,Watford FC",146863
"Tottenham Hotspur FC,West Ham United FC",146969
"Watford FC,Aston Villa FC",146763
"Watford FC,Crystal Palace FC",147023
"Watford FC,Everton FC",146790
"Watford FC,Leicester City FC",146826
"Watford FC,Liverpool FC",146935
"Watford FC,Manchester United FC",146970
"Watford FC,Newcastle United FC",146879
"Watford FC,Stoke City FC",146808
"Watford FC,Sunderland AFC",146745
"Watford FC,Swansea City FC",147041
"Watford FC,Tottenham Hotspur FC",146915
"Watford FC,West Bromwich Albion FC",147069
"Watford FC,West Ham United FC",146988
"West Bromwich Albion FC,AFC Bournemouth",147101
"West Bromwich Albion FC,Arsenal FC",146971
"West Bromwich Albion FC,Aston Villa FC",146880
"West Bromwich Albion FC,Crystal Palace FC",146844
"West Bromwich Albion FC,Everton FC",147024
"West Bromwich Albion FC,Leicester City FC",146989
"West Bromwich Albion FC,Liverpool FC",146746
"West Bromwich Albion FC,Manchester City FC",147079
"West Bromwich Albion FC,Manchester United FC",146827
"West Bromwich Albion FC,Newcastle United FC",146916
"West Bromwich Albion FC,Southampton FC",147042
"West Bromwich Albion FC,Stoke City FC",146907
"West Bromwich Albion FC,Sunderland AFC",147007
"West Bromwich Albion FC,Swansea City FC",146866
"West Bromwich Albion FC,Tottenham Hotspur FC",146953
"West Bromwich Albion FC,Watford FC",146782
"West Bromwich Albion FC,West Ham United FC",146764
"West Ham United FC,AFC Bournemouth",147115
"West Ham United FC,Arsenal FC",146791
"West Ham United FC,Chelsea FC",146998
"West Ham United FC,Crystal Palace FC",146800
"West Ham United FC,Everton FC",146980
"West Ham United FC,Leicester City FC",147070
"West Ham United FC,Liverpool FC",146908
"West Ham United FC,Manchester City FC",146881
"West Ham United FC,Manchester United FC",146773
"West Ham United FC,Norwich City FC",147025
"West Ham United FC,Southampton FC",146917
"West Ham United FC,Swansea City FC",146755
"West Ham United FC,Tottenham Hotspur FC",146836
"West Ham United FC,Watford FC",146818
"West Ham United FC,West Bromwich Albion FC",146962
